p,local_edges,nonlocal_edges,mean_degree,rounds,absorbed,frozen,capped,local_matches,nonlocal_matches,realized_nonlocal_match_fraction,final_active_density,final_cluster_count,final_largest_cluster_fraction,final_interface_length,winner_site
0.05,19800,500,4.06,24912,False,True,False,2011514,57082,0.027594561722056894,0.2542,2542,0.0003933910306845004,10050,-1
0.1,19800,995,4.159,33633,False,True,False,1996385,111520,0.05290561007256019,0.249,2490,0.00040160642570281126,9840,-1
0.15000000000000002,19800,1476,4.2552,29818,False,True,False,1970650,132915,0.06318559207821009,0.2469,2469,0.0004050222762251924,9761,-1
0.2,19800,2004,4.3608,16963,False,True,False,2013035,183563,0.08356695216876278,0.2403,2403,0.0004161464835622139,9497,-1
0.25,19800,2529,4.4658,20510,False,True,False,2049254,266410,0.11504691526922732,0.237,2370,0.0004219409282700422,9353,-1
0.30000000000000004,19800,3015,4.563,29752,False,True,False,2028942,340035,0.14353664049925347,0.2375,2375,0.0004210526315789474,9384,-1
0.35000000000000003,19800,3477,4.6554,28162,False,True,False,1970434,328363,0.1428412339149564,0.2378,2378,0.00042052144659377626,9400,-1
0.4,19800,3965,4.753,18786,False,True,False,1936918,449697,0.18842460975063008,0.2316,2316,0.0004317789291882556,9158,-1
0.45,19800,4493,4.8586,16556,False,True,False,1902350,435700,0.18635187442526893,0.2297,2297,0.00043535045711797995,9074,-1
0.5,19800,4857,4.9314,36538,False,True,False,1927055,519901,0.2124684710309462,0.2284,2284,0.00043782837127845885,9025,-1
0.55,19800,5477,5.0554,22382,False,True,False,1968369,506866,0.2047749001609948,0.2262,2262,0.0004420866489832007,8946,-1
0.6000000000000001,19800,5992,5.1584,37085,False,True,False,1947034,612313,0.23924579199303572,0.2201,2201,0.00045433893684688776,8699,-1
0.65,19800,6467,5.2534,22954,False,True,False,1998046,597204,0.23011424718235238,0.2201,2201,0.00045433893684688776,8700,-1
0.7000000000000001,19800,6931,5.3462,38195,False,True,False,1931820,659702,0.25456160511081904,0.2149,2149,0.00046533271288971617,8505,-1
